code_id,date,party,sentence,aggr_coder1,aggr_coder2,infl_coder1,infl_coder2,notes
S001,2016-10-19,Rep,"You shouldn’t have been in Iraq, but once you were in Iraq, you should have never left the way.",1,1,0,0,
S002,2012-10-03,Rep,They’re just being crushed.,1,1,0,1,
S003,2020-09-29,Dem,"A reporter came up to him to ask him a question, he said, “No, no, no.",0,0,0,0,
S004,2016-10-04,Dem,"If you don’t know the difference between dictatorship and leadership, then you got to go back to a fifth-grade civics class.",1,1,0,1,
S005,2016-09-26,Dem,"Well, I’ve heard—I’ve heard Donald say this at his rallies, and it’s really unfortunate that he paints such a dire negative picture of black communities in our country.",0,1,0,0,
S006,2020-09-29,Dem,"Number two, we’re going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance.",0,0,0,0,
S007,2012-10-16,Rep,"Now when the president ran for office, he said that he’d put in place, in his first year, a piece of legislation — he’d file a bill in his first year that would reform our — our immigration system, protect legal immigration, stop illegal immigration.",0,0,0,0,
S008,2016-09-26,Rep,"And we need law and order in the inner cities, because the people that are most affected by what’s happening are African-American and Hispanic people.",0,0,0,0,
S009,2012-10-16,Rep,"I am in favor, as the president has said, and I agree with him, which is that if people have committed crimes we got to get them out of this country.",0,1,0,0,
S010,2020-10-22,Rep,"Number two, I don’t make money from China, you do.",1,1,0,0,
S011,2016-10-09,Rep,That was locker room talk.,0,0,0,0,
S012,2016-10-09,Rep,"They started from that little area, and now they’re in 32 different nations, Hillary.",0,0,0,0,
S013,2020-10-22,Dem,It wasn’t about closing the border to Chinese coming to the United States.,0,0,0,0,
S014,2008-10-15,Rep,"But again, I want to come back to, notice every time Senator Obama says, “We need to spend more, we need to spend more, that’s the answer” — why do we always have to spend more?",1,1,0,0,
S015,2016-10-09,Dem,"That’s why—to go back to your question—I want to send a message—we all should—to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity.",0,0,0,0,
S016,2016-10-04,Dem,It is so painful to suggest that we go back to think about these days where an African-American could not be a citizen of the United States.,0,0,1,1,
S017,2020-09-29,Rep,Antifa is bad.,1,1,0,1,
S018,2016-10-04,Dem,Donald Trump during his campaign has called Mexicans rapists and criminals.,1,1,1,1,
S019,2020-10-22,Rep,"So, you ready?",0,1,0,0,
